use	name	type	size	buckets	weight_fc	mean	stddev	normalize
TRUE	freshness	Num	1	1.0	""	1.4186618124957158E-8	1.0000000338523305	TRUE
TRUE	feedClickSubCatList	Seq	10	1.0	""	""	""	FALSE
TRUE	lastClickedArticleId	Cat	1	41.0	""	""	""	FALSE
TRUE	feedCtrByCatLast7d	Num	36	1.0	""	4.501246330571373E-9,-4.807705629246093E-9,-1.0554642569152912E-9,-1.3972408708133493E-9,1.1413946633473299E-10,2.4201097172459963E-11,5.031785278364477E-9,-3.15172508173508E-10,5.9170354850727655E-9,2.8038539663926415E-9,-1.997502578869599E-9,0.0,4.4374925234626175E-9,6.234259242379306E-11,1.8484423367212421E-9,-5.51013300883784E-10,-1.452537659571849E-9,-1.0764888618013075E-10,-9.485354977899755E-9,1.97257591070999E-9,-4.959938401665259E-9,9.596961349502407E-10,-1.1865181515451037E-9,0.0,5.4553689844897796E-9,2.7407074226414005E-9,-3.603873991505637E-9,-2.043386547558555E-10,2.010755152606396E-9,-9.918568293919051E-11,1.692401821571216E-9,-6.250770712185078E-13,3.360256099951726E-9,-2.771804024108938E-10,-4.423507099686693E-9,-1.3788690657441744E-9	0.9999999485372344,1.0000000561154416,1.0000000161307454,0.999999974825093,0.999999976045866,0.9999999793920923,1.0000000396154287,0.9999999678540215,1.000000011727849,1.0000000316874578,0.9999999705529808,1.0,1.0000000257504944,0.9999999913299825,1.0000000218441627,0.9999999906664978,0.9999999938735784,0.9999999684633198,1.0000000170572014,0.9999999822269389,1.0000000194645227,1.000000015056412,1.0000000348490437,1.0,1.00000001437365,0.9999999462631624,0.9999999962374186,0.9999999765227651,0.9999999442689061,1.0000000285616917,1.0000000337042585,0.9999999675030847,1.0000000073448991,0.9999999471788212,1.0000000023744335,1.0000000431224572	TRUE
TRUE	city	Cat	1	3.0	""	""	""	FALSE
TRUE	pushClickedDayNumLast15d	Num	1	1.0	""	9.813763285137279E-11	1.000000010234506	TRUE
TRUE	pushClickNumLast30d	Num	1	1.0	""	-4.5170881863717875E-9	0.9999999528436169	TRUE
TRUE	residentDistrict	Cat	1	2133.0	""	""	""	FALSE
TRUE	sex	Cat	1	6.0	""	""	""	FALSE
TRUE	articleCategoryAttention	Cat	1	1.0	""	""	""	FALSE
