use	name	type	size	buckets	weight_fc	mean	stddev	normalize
TRUE	pushAllUserCtrLast30d	Num	1	1.0	""	0.005656040587790287	2.509463710019721E-5	TRUE
TRUE	pushCtrLast30d	Num	1	1.0	""	0.006962285424452542	0.02972225459092448	TRUE
TRUE	pushCategoryCtr7day	Num	1	1.0	""	0.025733064995682845	0.009281263636060666	TRUE
TRUE	pushAllUserExposeNumLast30d	Num	1	1.0	""	9.809856589105023E7	258148.6872772538	TRUE
TRUE	feedClickByCatLast7d	Num	36	1.0	""	0.3873969548570168,0.13268319048559082,0.013443768942412953,0.15738235514563292,2.2907717789584695E-4,0.009189478495775796,0.09147252287868728,8.445241581413712E-4,0.21954566711602388,0.05664329094173944,0.013333980801854575,0.0,0.1196194574143415,0.0214023534776977,0.21737524002960057,5.49996357989568E-4,0.0658032110919803,4.813787701405816E-4,0.06322002282326537,0.01878116162186642,0.038462797127351074,0.037813569180779896,0.003057177452471764,0.0,0.07021268285267593,0.019174921010599835,0.06745108885555365,0.3587802537583964,0.044385022786317445,0.05047720893210976,0.08053593503075651,0.002812265446610766,0.03345793583516578,0.009642354575579106,0.06834311749759046,0.05594761416647049	11.587521669066643,2.60899002510836,0.5383215652920561,1.996429129762622,0.044394344890484994,1.3093234113964933,1.2472108130804453,0.09035337678175001,2.695560491714666,1.7700019218713532,0.3180033827571237,1.0,1.8269652887315593,0.4468812155416951,4.666953992351568,0.05920753428512092,0.8717089122286297,0.06001389514997123,1.1576185364304228,0.38604680631073385,0.7480718163758213,0.6597018066187466,0.5306417256183011,1.0,1.3513188984715765,1.463195980021781,1.9980775737959044,2.945140578719597,1.0494895599635328,1.0470543001993726,2.2751670926031613,0.125645616302903,0.965359090784195,0.6470757274313127,1.0551357609859033,1.514129004161823	TRUE
TRUE	pushClickedDayNumLast7d	Num	1	1.0	""	0.4440715433274412	0.8958996510596005	TRUE
TRUE	rankedTags	Cat	1	214.0	""	""	""	FALSE
TRUE	clickedPushAvgCountInLast7Days	Num	1	1.0	""	0.32313372326993334	1.408014501012947	TRUE
TRUE	pushAvgCtrInLast7Days	Num	1	1.0	""	0.008537292424789487	0.025863769022621108	TRUE
TRUE	dayDecayWeight	Num	1	1.0	""	""	""	FALSE
